Policy_ID,Policy_Text_EN,Policy_Text_FR,Policy_Text_ES,Summarized_Text,Policy_Text_EN_Normalized,Summarized_Text_Normalized,Policy_Text_FR_Normalized,Policy_Text_ES_Normalized
POL-1000,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters.",this policy covers damages to your vehicle due to accidents theft and natural disasters,covers vehicle damages from accidents theft and disasters,cette police couvre les dommages à votre véhicule dus aux accidents au vol et aux catastrophes naturelles,esta póliza cubre daños a su vehículo por accidentes robos y desastres naturales
POL-1001,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.,comprehensive health insurance policy covering hospitalization and outpatient treatments,health insurance covering hospitalization and outpatient care,police dassurance maladie complète couvrant lhospitalisation et les traitements ambulatoires,póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios
POL-1002,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters.",home insurance protecting against fire theft and natural calamities,home insurance for fire theft and natural disasters,assurance habitation protégeant contre les incendies le vol et les calamités naturelles,seguro de hogar que protege contra incendios robos y calamidades naturales
POL-1003,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.,travel insurance providing medical and trip cancellation coverage,travel insurance with medical and trip cancellation coverage,assurance voyage offrant une couverture médicale et annulation de voyage,seguro de viaje que proporciona cobertura médica y cancelación de viaje
POL-1004,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.,life insurance ensuring financial security for your family,life insurance for financial security of dependents,assurance vie garantissant la sécurité financière de votre famille,seguro de vida que garantiza la seguridad financiera de su familia
POL-1005,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.,business insurance covering property damage and liability risks,business insurance covering property and liability risks,assurance entreprise couvrant les dommages matériels et les risques de responsabilité,seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad
POL-1006,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.,personal accident insurance offering coverage for disabilities,personal accident insurance for disabilities,assurance accident personnel offrant une couverture pour les invalidités,seguro de accidentes personales que ofrece cobertura por discapacidades
POL-1007,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.,cyber insurance protecting against digital fraud and data breaches,cyber insurance against digital fraud and data breaches,assurance cyber protégeant contre la fraude numérique et les violations de données,seguro cibernético que protege contra fraudes digitales y violaciones de datos
POL-1008,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.,pet insurance covering veterinary expenses for illnesses and accidents,pet insurance covering vet expenses,assurance pour animaux couvrant les frais vétérinaires en cas de maladie et daccident,seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes
POL-1009,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.,marine insurance covering losses related to ships and cargo,marine insurance for ship and cargo losses,assurance maritime couvrant les pertes liées aux navires et au fret,seguro marítimo que cubre pérdidas relacionadas con barcos y carga
POL-1010,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters.",this policy covers damages to your vehicle due to accidents theft and natural disasters,covers vehicle damages from accidents theft and disasters,cette police couvre les dommages à votre véhicule dus aux accidents au vol et aux catastrophes naturelles,esta póliza cubre daños a su vehículo por accidentes robos y desastres naturales
POL-1011,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.,comprehensive health insurance policy covering hospitalization and outpatient treatments,health insurance covering hospitalization and outpatient care,police dassurance maladie complète couvrant lhospitalisation et les traitements ambulatoires,póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios
POL-1012,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters.",home insurance protecting against fire theft and natural calamities,home insurance for fire theft and natural disasters,assurance habitation protégeant contre les incendies le vol et les calamités naturelles,seguro de hogar que protege contra incendios robos y calamidades naturales
POL-1013,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.,travel insurance providing medical and trip cancellation coverage,travel insurance with medical and trip cancellation coverage,assurance voyage offrant une couverture médicale et annulation de voyage,seguro de viaje que proporciona cobertura médica y cancelación de viaje
POL-1014,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.,life insurance ensuring financial security for your family,life insurance for financial security of dependents,assurance vie garantissant la sécurité financière de votre famille,seguro de vida que garantiza la seguridad financiera de su familia
POL-1015,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.,business insurance covering property damage and liability risks,business insurance covering property and liability risks,assurance entreprise couvrant les dommages matériels et les risques de responsabilité,seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad
POL-1016,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.,personal accident insurance offering coverage for disabilities,personal accident insurance for disabilities,assurance accident personnel offrant une couverture pour les invalidités,seguro de accidentes personales que ofrece cobertura por discapacidades
POL-1017,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.,cyber insurance protecting against digital fraud and data breaches,cyber insurance against digital fraud and data breaches,assurance cyber protégeant contre la fraude numérique et les violations de données,seguro cibernético que protege contra fraudes digitales y violaciones de datos
POL-1018,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.,pet insurance covering veterinary expenses for illnesses and accidents,pet insurance covering vet expenses,assurance pour animaux couvrant les frais vétérinaires en cas de maladie et daccident,seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes
POL-1019,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.,marine insurance covering losses related to ships and cargo,marine insurance for ship and cargo losses,assurance maritime couvrant les pertes liées aux navires et au fret,seguro marítimo que cubre pérdidas relacionadas con barcos y carga
POL-1020,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters.",this policy covers damages to your vehicle due to accidents theft and natural disasters,covers vehicle damages from accidents theft and disasters,cette police couvre les dommages à votre véhicule dus aux accidents au vol et aux catastrophes naturelles,esta póliza cubre daños a su vehículo por accidentes robos y desastres naturales
POL-1021,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.,comprehensive health insurance policy covering hospitalization and outpatient treatments,health insurance covering hospitalization and outpatient care,police dassurance maladie complète couvrant lhospitalisation et les traitements ambulatoires,póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios
POL-1022,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters.",home insurance protecting against fire theft and natural calamities,home insurance for fire theft and natural disasters,assurance habitation protégeant contre les incendies le vol et les calamités naturelles,seguro de hogar que protege contra incendios robos y calamidades naturales
POL-1023,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.,travel insurance providing medical and trip cancellation coverage,travel insurance with medical and trip cancellation coverage,assurance voyage offrant une couverture médicale et annulation de voyage,seguro de viaje que proporciona cobertura médica y cancelación de viaje
POL-1024,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.,life insurance ensuring financial security for your family,life insurance for financial security of dependents,assurance vie garantissant la sécurité financière de votre famille,seguro de vida que garantiza la seguridad financiera de su familia
POL-1025,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.,business insurance covering property damage and liability risks,business insurance covering property and liability risks,assurance entreprise couvrant les dommages matériels et les risques de responsabilité,seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad
POL-1026,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.,personal accident insurance offering coverage for disabilities,personal accident insurance for disabilities,assurance accident personnel offrant une couverture pour les invalidités,seguro de accidentes personales que ofrece cobertura por discapacidades
POL-1027,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.,cyber insurance protecting against digital fraud and data breaches,cyber insurance against digital fraud and data breaches,assurance cyber protégeant contre la fraude numérique et les violations de données,seguro cibernético que protege contra fraudes digitales y violaciones de datos
POL-1028,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.,pet insurance covering veterinary expenses for illnesses and accidents,pet insurance covering vet expenses,assurance pour animaux couvrant les frais vétérinaires en cas de maladie et daccident,seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes
POL-1029,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.,marine insurance covering losses related to ships and cargo,marine insurance for ship and cargo losses,assurance maritime couvrant les pertes liées aux navires et au fret,seguro marítimo que cubre pérdidas relacionadas con barcos y carga
POL-1030,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters.",this policy covers damages to your vehicle due to accidents theft and natural disasters,covers vehicle damages from accidents theft and disasters,cette police couvre les dommages à votre véhicule dus aux accidents au vol et aux catastrophes naturelles,esta póliza cubre daños a su vehículo por accidentes robos y desastres naturales
POL-1031,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.,comprehensive health insurance policy covering hospitalization and outpatient treatments,health insurance covering hospitalization and outpatient care,police dassurance maladie complète couvrant lhospitalisation et les traitements ambulatoires,póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios
POL-1032,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters.",home insurance protecting against fire theft and natural calamities,home insurance for fire theft and natural disasters,assurance habitation protégeant contre les incendies le vol et les calamités naturelles,seguro de hogar que protege contra incendios robos y calamidades naturales
POL-1033,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.,travel insurance providing medical and trip cancellation coverage,travel insurance with medical and trip cancellation coverage,assurance voyage offrant une couverture médicale et annulation de voyage,seguro de viaje que proporciona cobertura médica y cancelación de viaje
POL-1034,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.,life insurance ensuring financial security for your family,life insurance for financial security of dependents,assurance vie garantissant la sécurité financière de votre famille,seguro de vida que garantiza la seguridad financiera de su familia
POL-1035,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.,business insurance covering property damage and liability risks,business insurance covering property and liability risks,assurance entreprise couvrant les dommages matériels et les risques de responsabilité,seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad
POL-1036,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.,personal accident insurance offering coverage for disabilities,personal accident insurance for disabilities,assurance accident personnel offrant une couverture pour les invalidités,seguro de accidentes personales que ofrece cobertura por discapacidades
POL-1037,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.,cyber insurance protecting against digital fraud and data breaches,cyber insurance against digital fraud and data breaches,assurance cyber protégeant contre la fraude numérique et les violations de données,seguro cibernético que protege contra fraudes digitales y violaciones de datos
POL-1038,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.,pet insurance covering veterinary expenses for illnesses and accidents,pet insurance covering vet expenses,assurance pour animaux couvrant les frais vétérinaires en cas de maladie et daccident,seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes
POL-1039,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.,marine insurance covering losses related to ships and cargo,marine insurance for ship and cargo losses,assurance maritime couvrant les pertes liées aux navires et au fret,seguro marítimo que cubre pérdidas relacionadas con barcos y carga
POL-1040,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters.",this policy covers damages to your vehicle due to accidents theft and natural disasters,covers vehicle damages from accidents theft and disasters,cette police couvre les dommages à votre véhicule dus aux accidents au vol et aux catastrophes naturelles,esta póliza cubre daños a su vehículo por accidentes robos y desastres naturales
POL-1041,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.,comprehensive health insurance policy covering hospitalization and outpatient treatments,health insurance covering hospitalization and outpatient care,police dassurance maladie complète couvrant lhospitalisation et les traitements ambulatoires,póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios
POL-1042,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters.",home insurance protecting against fire theft and natural calamities,home insurance for fire theft and natural disasters,assurance habitation protégeant contre les incendies le vol et les calamités naturelles,seguro de hogar que protege contra incendios robos y calamidades naturales
POL-1043,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.,travel insurance providing medical and trip cancellation coverage,travel insurance with medical and trip cancellation coverage,assurance voyage offrant une couverture médicale et annulation de voyage,seguro de viaje que proporciona cobertura médica y cancelación de viaje
POL-1044,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.,life insurance ensuring financial security for your family,life insurance for financial security of dependents,assurance vie garantissant la sécurité financière de votre famille,seguro de vida que garantiza la seguridad financiera de su familia
POL-1045,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.,business insurance covering property damage and liability risks,business insurance covering property and liability risks,assurance entreprise couvrant les dommages matériels et les risques de responsabilité,seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad
POL-1046,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.,personal accident insurance offering coverage for disabilities,personal accident insurance for disabilities,assurance accident personnel offrant une couverture pour les invalidités,seguro de accidentes personales que ofrece cobertura por discapacidades
POL-1047,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.,cyber insurance protecting against digital fraud and data breaches,cyber insurance against digital fraud and data breaches,assurance cyber protégeant contre la fraude numérique et les violations de données,seguro cibernético que protege contra fraudes digitales y violaciones de datos
POL-1048,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.,pet insurance covering veterinary expenses for illnesses and accidents,pet insurance covering vet expenses,assurance pour animaux couvrant les frais vétérinaires en cas de maladie et daccident,seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes
POL-1049,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.,marine insurance covering losses related to ships and cargo,marine insurance for ship and cargo losses,assurance maritime couvrant les pertes liées aux navires et au fret,seguro marítimo que cubre pérdidas relacionadas con barcos y carga
